,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
0,0.4019,2018-06-04 02:15:06+00:00,0.0,0.863,0.137,CNN,Former US Attorney Preet Bharara says President Trump's political allies are clearly receiving a message from his p… https://t.co/w0ckxhDKDi,1
1,0.0,2018-06-04 02:00:12+00:00,0.0,1.0,0.0,CNN,Disney embraces $15 minimum wage in negotiations with workers https://t.co/5YKaVxqJ2u https://t.co/0n7XSHDfKn,2
2,0.1027,2018-06-04 01:45:05+00:00,0.157,0.663,0.181,CNN,French Open marathon man Alexander Zverev makes first grand slam quarterfinal https://t.co/yAQeSZGiUa https://t.co/eg9WmcksBh,3
3,-0.9246,2018-06-04 01:30:13+00:00,0.489,0.511,0.0,CNN,"""Her only weapon was her medical vest."" Palestinians mourn the death of a nurse killed by Israeli forces.… https://t.co/ppQdV22e5L",4
4,0.0,2018-06-04 01:15:12+00:00,0.0,1.0,0.0,CNN,Actor Benedict Cumberbatch saves cyclist from muggers https://t.co/D0zALzFoCY https://t.co/hnQTowlGH9,5
5,-0.4588,2018-06-04 01:00:10+00:00,0.15,0.85,0.0,CNN,"Former New Jersey Gov. Chris Christie says it's an ""outrageous claim"" that President Trump can't obstruct justice… https://t.co/A1Xlidjyzk",6
6,-0.4939,2018-06-04 00:45:10+00:00,0.225,0.775,0.0,CNN,"Nearly 100 women suffered under dancing doctor's scalpel, lawyer says https://t.co/JKCekjz8bw https://t.co/4q69tZuiu1",7
7,0.4939,2018-06-04 00:30:03+00:00,0.0,0.862,0.138,CNN,"When he was a kid, Richard Jenkins raised his hand in class so often bullies started calling him ""Harvard.""

Now, a… https://t.co/okoYkkhJdn",8
8,-0.8316,2018-06-04 00:15:07+00:00,0.464,0.536,0.0,CNN,Author Germaine Greer's dangerous ideas about rape https://t.co/cPrlwOCoPW (via @CNNOpinion) https://t.co/3vhDQGV5GJ,9
9,0.0,2018-06-04 00:00:09+00:00,0.0,1.0,0.0,CNN,"Sen. Bob Corker says GOP senators are working on plan to ""push back"" on Trump policy https://t.co/fx2wMRSMWZ https://t.co/xRiqlqwL7C",10
10,0.0,2018-06-03 23:45:02+00:00,0.0,1.0,0.0,CNN,"President Trump says Senate Democrats are ""resisting the will"" of voters https://t.co/E4qbFMRLPe https://t.co/7QE2uCdt7R",11
11,-0.7269,2018-06-03 23:30:50+00:00,0.353,0.647,0.0,CNN,This FBI agent lost his gun during a dance-floor backflip and accidentally shot a bar patron https://t.co/ICK3IAFrgs https://t.co/cTfVCE5v9m,12
12,-0.2263,2018-06-03 23:15:08+00:00,0.151,0.755,0.094,CNN,"Gaza militants fire rockets towards Israel, and Israel Defense Forces responds with airstrikes… https://t.co/jStVpnYZly",13
13,0.0,2018-06-03 23:00:04+00:00,0.0,1.0,0.0,CNN,Dog dies during Delta Air Lines layover in Michigan https://t.co/vmHsRHK4xU https://t.co/QdyLmeQ0u0,14
